wall_time_iso,unix_time,episode,area_id,cycle_index,subcycle_index,agent_id,collectible_allowed_id,reward_amount,agent_pos_x,agent_pos_z,cumulative_reward_after,group_reward_step
2025-08-18T01:19:43.941Z,1755479983.941,2,0,0,0,3,0,1,11.4352,-14.1214,1,0
2025-08-18T01:19:44.046Z,1755479984.046,2,3,0,0,1,1,4,-17.4062,-31.8323,4,0
2025-08-18T01:19:44.172Z,1755479984.172,2,11,0,0,4,0,1,101.9542,-25.1792,1,0
2025-08-18T01:19:44.220Z,1755479984.220,2,2,0,0,1,1,4,32.3179,-40.9101,5,0
2025-08-18T01:19:44.263Z,1755479984.264,2,2,0,0,1,1,4,31.4263,-41.8522,9,0
2025-08-18T01:19:44.366Z,1755479984.366,2,7,0,0,4,0,1,-23.3338,7.5889,1,0
2025-08-18T01:19:45.723Z,1755479985.723,2,4,0,0,4,0,1,24.2471,25.5554,1,0
2025-08-18T01:19:46.265Z,1755479986.265,2,11,0,0,3,0,1,93.6959,21.6821,1,0
2025-08-18T01:19:46.649Z,1755479986.649,2,3,0,1,4,0,1,-36.2623,35.2698,2,0
2025-08-18T01:19:46.971Z,1755479986.971,2,6,0,1,3,3,4,34.7263,9.6582,4,0
2025-08-18T01:19:47.010Z,1755479987.011,2,2,0,1,4,0,1,-25.1828,24.7210,1,0
2025-08-18T01:19:47.428Z,1755479987.428,2,7,0,1,4,0,1,-37.7380,36.1868,2,0
2025-08-18T01:19:47.550Z,1755479987.550,2,4,0,1,4,0,1,24.6672,27.1067,2,0
2025-08-18T01:19:49.889Z,1755479989.890,2,11,0,1,4,0,1,124.7536,-43.3802,2,0
2025-08-18T01:19:51.746Z,1755479991.746,2,14,0,1,4,0,1,176.5676,43.2888,1,0
2025-08-18T01:19:52.711Z,1755479992.711,2,5,0,1,4,0,1,-5.7822,-13.1941,1,0
2025-08-18T01:19:53.478Z,1755479993.479,2,0,0,1,4,0,1,10.3342,13.5471,2,0
2025-08-18T01:19:54.101Z,1755479994.102,2,5,0,1,3,0,1,7.6404,35.3578,1,0
2025-08-18T01:19:54.254Z,1755479994.255,2,14,0,1,1,0,1,168.4205,-23.6957,1,0
2025-08-18T01:19:54.560Z,1755479994.560,2,11,0,2,4,0,1,110.7446,-15.9039,3,0
2025-08-18T01:19:54.828Z,1755479994.828,2,12,0,2,2,2,4,173.1100,14.9163,4,0
2025-08-18T01:19:54.863Z,1755479994.864,2,10,0,2,2,0,1,175.9260,-38.1724,1,0
2025-08-18T01:19:56.512Z,1755479996.512,2,10,0,2,1,1,4,146.6729,28.8841,4,0
2025-08-18T01:19:56.963Z,1755479996.964,2,5,0,2,3,0,1,43.9566,38.7459,2,0
